"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-01","31.4","39.6","24.1"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-02","29.9","40.5","24.5"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-03","26.9","38.7",
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-04","28.6",,"19.5"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-05","30.9","38.2","22.1"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-06","29.7","38.2","23.1"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-07","30.4","39.1","21.7"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-08","32.4",,"22.6"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-09","33.6","41.2","24.5"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-10","27.3","42.2",
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-11","29.7","36.9","20.2"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-12","31.5",,"23.6"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-13","30.2","38.6","25.8"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-14","30.5","41.1","23.4"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-15","32.2","41.1","22.8"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-16","32.9",,"24.5"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-17","32.3","41.2",
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-18","33.2",,"23.6"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-19","34.1",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-20","33.8","42.8","22.4"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-21","34.8",,"22.9"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-22","36.6","45.4","24.4"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-23","37.9","45.4","27.6"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2020-05-24","37.9","45.6",
